State name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,Male_Literate_pct,Female_Literate_pct,Male_SC_pct,Female_SC_pct,Male_ST_pct,Female_ST_pct,Male_Workers_pct,Female_Workers_pct,Main_Workers_pct,Marginal_Workers_pct,Non_Workers_pct,Cultivator_Workers_pct,Agricultural_Workers_pct,Household_Workers_pct,Other_Workers_pct,Hindus_pct,Muslims_pct,Sikhs_pct,Jains_pct,Buddhists_pct,Others_Religions_pct,Religion_Not_Stated_pct,LPG_or_PNG_Households_pct,Housholds_with_Electric_Lighting_pct,Households_with_Internet_pct,Households_with_Computer_pct,Rural_Households_pct,Urban_Households_pct,Below_Primary_Education_pct,Primary_Education_pct,Middle_Education_pct,Secondary_Education_pct,Higher_Education_pct,Graduate_Education_pct,Other_Education_pct,Literate_Education_pct,Illiterate_Education_pct,Total_Education_pct,Age_Group_0_29_pct,Age_Group_30_49_pct,Age_Group_50_pct,Age not stated_pct,Households_with_Bicycle_pct,Households_with_Car_Jeep_Van_pct,Households_with_Scooter_Motorcycle_Moped_pct,Households_with_Telephone_Mobile_Phone_Landline_only_pct,Households_with_Telephone_Mobile_Phone_Mobile_only_pct,Households_with_Television_pct,Households_with_Telephone_Mobile_Phone_pct,Households_with_Telephone_Mobile_Phone_Both_pct,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car_pct,Ownership_Owned_Households_pct,Ownership_Rented_Households_pct,Type_of_latrine_facility_Pit_latrine_Households_pct,Type_of_latrine_facility_Other_latrine_Households_pct,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households_pct,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households_pct,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households_pct,Main_source_of_drinking_water_Un_covered_well_Households_pct,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households_pct,Main_source_of_drinking_water_Spring_Households_pct,Main_source_of_drinking_water_River_Canal_Households_pct,Main_source_of_drinking_water_Other_sources_Households_pct,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households_pct,Location_of_drinking_water_source_Near_the_premises_Households_pct,Location_of_drinking_water_source_Within_the_premises_Households_pct,Main_source_of_drinking_water_Tank_Pond_Lake_Households_pct,Main_source_of_drinking_water_Tapwater_Households_pct,Main_source_of_drinking_water_Tubewell_Borehole_Households_pct,Location_of_drinking_water_source_Away_Households_pct,Power_Parity_Less_than_Rs_45000_pct,Power_Parity_Rs_45000_90000_pct,Power_Parity_Rs_90000_150000_pct,Power_Parity_Rs_45000_150000_pct,Power_Parity_Rs_150000_240000_pct,Power_Parity_Rs_240000_330000_pct,Power_Parity_Rs_150000_330000_pct,Power_Parity_Rs_330000_425000_pct,Power_Parity_Rs_425000_545000_pct,Power_Parity_Rs_330000_545000_pct,Power_Parity_Above_Rs_545000_pct,Total_Power_Parity_pct
ANDAMAN AND NICOBAR ISLANDS,1917,380581,202871,177710,294281,164377,129904,0,0,0,28530,14731,13799,152535,120889,31646,125910,26625,228046,16567,4781,3727,127460,264296,32413,80984,1286,338,31,564,669,41539,80421,3234,8194,89950,51725,141675,34833,60466,71733,61182,43620,28821,4250,304905,68492,373397,204538,119161,56514,368,17066,6426,23076,2841,67286,5099,63965,78100,7973,65450,53527,30123,2679,219,151,1774,25641,6194,497,1091,2405,1793,6663,25198,56615,1374,79375,482,11563,1879,4069,2741,6810,1073,636,1709,405,737,1142,544,12084,81.02538066061685,73.09886894378482,0.0,0.0,7.261264547421761,7.764897867311912,59.58909849115941,17.80766417196556,33.0836274012628,6.995882611060457,59.92048998767674,4.353081210044643,1.256237174215213,0.9792921874712611,33.49089944059214,69.4454005848952,8.51671523276254,0.3379044145661502,0.008145440786586824,0.08881158018923699,0.148194471084999,0.1757838672976318,29.31992235750838,56.76442562202223,2.282689253573319,5.783659784718545,63.49038291865185,36.50961708134815,9.152585126425123,15.8878136323148,18.8482872240075,16.07594703886952,11.46142345519088,7.572895126136093,1.116713656225613,80.11566525916953,17.99669452757757,98.1123597867471,53.74361830989987,31.31028611517653,14.84940131010219,0.09669426482141778,12.04587965413799,4.535733192165167,16.28798305982001,2.005293806246691,47.49320628198341,45.14910887594847,55.12616904887948,5.627668960649373,3.59908240691724,37.78154226221987,21.26204340921122,1.890947591318158,0.154579142403388,0.1065819657667196,1.252161637550732,18.09846479618846,4.37197811893418,0.3508028939474149,0.7700723486853714,1.6975472031057,1.265572613375684,4.703017469560614,17.78577730721722,39.96117875419093,0.9698253043938591,56.02611611081701,0.3402152814540321,8.16163755073231,1.326274925004411,2.872066349038292,1.934709722957473,4.806776071995765,0.7573672136933122,0.4489147697194283,1.206281983412741,0.285865537321334,0.5202046938415387,0.8060702311628728,0.3839774130933474,8.529380624669137
ANDHRA PRADESH,12489,84580777,42442146,42138631,50556760,28251243,22305517,13878078,6913047,6965031,5918073,2969362,2948711,39422906,24185595,15237311,33037378,6385528,45157871,6491522,16967754,1439137,14524493,74824149,8082412,1129784,40244,36692,53849,9547,404100,7525445,19377222,549284,1763555,17174077,8420919,25594996,9672732,13036342,11566354,9266937,5481749,5069999,687039,54781152,27185233,81966385,45815669,23148452,14845225,771431,6754231,562769,3914068,857080,11549740,816992,12358093,13262317,855497,10424003,16498540,4146219,1141558,228797,165673,204395,10085161,1231522,4337080,101574,65270,439959,660427,7834465,9089558,53624,14691570,1451570,4100511,19930,46112,34248,80360,5183,3090,8273,3771,5385,9156,6449,124166,66.56412472639815,52.93365368229453,16.28816554186492,16.52884973885364,6.996257917778238,6.997643089069506,56.98485415888253,36.15995735599478,39.06014956566312,7.549620878985304,53.39022955535157,7.674937769843377,20.06100511467281,1.701494182301021,17.17233337783123,88.46472171803292,9.555849788421783,0.0475805513113222,0.06366576651335326,0.04338101552318442,0.01128743473236241,0.4777681340052007,29.40201670670314,75.70707180419173,2.146060112687652,6.890233544088072,67.09935410812332,32.90064589187668,11.43608789500716,15.41288985794018,13.67492048459191,10.95631575954901,6.481081392761384,5.99426865042869,0.81228740662905,64.76785144690737,32.14114833681417,96.90899978372154,54.16794527673824,27.36845512781231,17.55153538019638,0.912064215253071,26.38887304377778,2.1987461924198,15.29231729514628,3.348623301210909,45.12499240085835,48.283238645554,51.81605420059452,3.342438498525259,3.19199893604203,64.46002179488521,16.19933443240233,4.460082744298925,0.8939130133093203,0.6472866805683424,0.7985740650242728,39.40286218446762,4.811573324723318,16.9450309740232,0.3968510094707575,0.2550107841392122,1.718925840035294,2.580297336244944,30.60936207999407,35.5130276246185,0.20950970259968,57.40016525105142,5.671303875179352,16.0207526502446,0.07786678302274398,0.1801602156921611,0.1338074051662286,0.3139676208583897,0.02025005200235233,0.01207267233016954,0.03232272433252188,0.01473334865924574,0.0210392687695673,0.03577261742881303,0.02519633134539267,0.4851182629604631
ARUNACHAL PRADESH,4040,1383727,713912,669815,766005,439868,326137,0,0,0,951821,468390,483431,587657,350273,237384,478721,108936,796070,302723,36171,8365,240398,401876,27045,418732,3287,162815,771,362553,6648,76445,171821,5128,21247,270546,105414,375960,163076,203321,177395,124932,90576,60298,6067,825665,441551,1267216,904739,337844,139635,1509,50987,20729,36691,7592,104094,9485,107624,126368,14682,162116,178605,59201,49148,12503,1865,26277,91053,11335,34165,14911,15559,8307,41091,97755,107429,2314,171473,6299,56430,880,2672,1486,4158,556,396,952,141,153,294,172,6456,61.61375631730521,48.69060860088234,0.0,0.0,65.60892659039209,72.17380918611855,49.06389022736695,35.44023349730896,34.59649193807738,7.872651180471292,57.53085688145133,21.87736453794715,2.614027188889138,0.6045267599750529,17.37322463173733,29.04301209703937,1.954504031503324,0.2375468571473997,0.05571908331629,11.76641057087128,26.20119431072748,0.4804415899957145,20.3332801361847,45.70193637621023,1.363974890945845,5.651399085009044,71.96137887009256,28.03862112990744,11.78527267300558,14.69372209980726,12.82008662113264,9.028659554955567,6.545799857919951,4.357651473159084,0.4384535388844765,59.66964581886456,31.91026842722589,91.57991424609045,65.384212348245,24.41550970675574,10.09122464185493,0.1090533031443341,13.56181508671135,5.513618470050005,9.75928290243643,2.019363762102351,27.68751994893074,28.62644962230024,33.61208639216938,3.905202681136291,2.522874773912118,47.50638365783594,15.74662198106181,13.07266730503245,3.325619746781573,0.4960634110011703,6.989307373124801,24.21879987232684,3.014948398765826,9.087402915203745,3.966113416320885,4.138472177891265,2.20954356846473,10.92962017235876,26.00143632301309,28.57458240238323,0.6154910096818811,45.6093733375891,1.675444196191084,15.00957548675391,0.2340674539844664,0.7107139057346527,0.3952548143419513,1.105968720076604,0.1478880731992765,0.1053303542930099,0.2532184274922864,0.03750398978614747,0.04069581870411746,0.07819980849026492,0.04574954782423662,1.717203957867858
ASSAM,8451,31205576,15939443,15266133,19177977,10568639,8609338,2231321,1145314,1086007,3884371,1957005,1927366,11969690,8541560,3428130,8687123,3282567,19235886,4061627,1845346,491321,5571396,19180759,10679345,1165867,20672,54993,25949,27118,50873,1206621,2358900,100173,593484,7588998,1485505,9074503,3743725,6286859,6391073,2720548,1749752,1017971,157418,22067346,9491628,31558974,19042032,8016988,4127732,18824,3504408,239904,646410,137261,2766506,164319,1751229,3047557,143790,4131931,5598028,435455,2207938,111914,54381,536172,2116562,1095715,3782347,80246,216639,125458,716924,1699916,3489690,294581,666146,588580,1177689,1510,4311,2095,6406,834,590,1424,195,207,402,202,9944,66.30494553667904,56.39501503098394,7.185407921719723,7.113831642892146,12.27775023255204,12.62510944978666,53.58756890061967,22.45578497187205,27.8383677327411,10.51916811277574,61.64246415448316,13.01570911557601,5.913513661789162,1.574465409643456,17.85384765850821,61.46580662379056,34.2225536872,0.06624457116253839,0.08315501050196926,0.1762281202564567,0.08690113587392202,0.1630253516230561,13.29682738547775,25.99481205747576,1.10389516649011,6.540126770579061,83.62990237592075,16.37009762407925,11.99697451506744,20.14658854558557,20.48054809178975,8.718147038849724,5.607177383939332,3.262144560318323,0.5044547166826852,70.71603485223282,30.41644865007459,101.1324835023074,61.02124825383771,25.6908829370751,13.22754625647673,0.06032255261046936,38.61818107283671,2.643715033208981,7.123365323698719,1.512600745186816,30.48658422395144,19.29834614633991,33.58373455824523,1.584549589106974,1.810776854666311,61.68963743799522,4.798665006777782,24.33122783694049,1.233279662809082,0.5992724890828731,5.9085549919373,23.32427461867609,12.07465576902669,41.68103751797757,0.8843018730612575,2.387337356106444,1.382533015857728,7.900421653946227,18.73288267137054,38.4559903721449,3.246249408920797,7.340853818660922,6.486085243456308,12.97800000727312,0.01664002976251151,0.04750673397760737,0.02308666380957723,0.0705933977871846,0.009190585974791126,0.006501733483365426,0.01569231945815655,0.002148878015688573,0.002281116662807869,0.004429994678496443,0.002226017226508162,0.1095817589128573
BIHAR,8417,104099452,54278157,49821295,52504553,31608023,20896530,16567325,8606253,7961072,1336573,682516,654057,34724987,25222189,9502798,21359611,13365376,69374465,7196226,18345649,1411208,7771904,86078686,17557809,129247,23779,25453,18914,13437,252127,1528380,3098435,165521,1334565,20713342,2701332,23414674,21533037,16822947,10287996,7565444,4600511,3346072,368472,64524479,46443380,110967859,66930323,22949064,13816563,403502,9230677,323190,1534633,425705,9773448,180385,2751541,10510770,311617,4367236,18332993,396421,473855,87842,39246,438088,14358546,696238,16969091,6418,29001,256850,315111,7182893,9490650,22842,834514,567104,2267086,23749,37239,18132,55371,6168,564,6732,788,1273,2061,1576,89490,58.23341238354869,41.94296836322701,15.85583128771303,15.97925545692861,1.257441368173205,1.312806100283022,46.46839611742897,19.07376755260978,20.5184663219937,12.8390454927659,66.6424881852404,6.912837543083319,17.62319459664399,1.355634417748904,7.465845257283391,82.68889446219178,16.86637985375754,0.0228425794210713,0.01816916384920067,0.02445065705052895,0.01290784892892616,0.242198201004939,6.527445139744419,13.23287695570735,0.706911400944553,5.699694986144159,88.46308088679774,11.53691911320226,20.68506278015758,16.16045682930204,9.882853177747757,7.267515682983615,4.419342188275881,3.21430318384385,0.3539615174919461,61.98349535980267,44.6144327445643,106.597928104367,64.2945968630075,22.04532642496523,13.27246468117815,0.3876120308491153,39.42261592025582,1.380288275634331,6.554150615122807,1.818112009588517,41.74069645385624,11.75135301905122,44.88967046904006,1.330862005595295,0.7703929595603167,78.29702433610649,1.693045139129419,2.023752284571632,0.3751579031166524,0.1676128397089791,1.870997648739419,61.32285249839481,2.973511397169143,72.47203612572184,0.02741016167895398,0.1238582266829767,1.096961674546483,1.345784271863021,30.6768866395492,40.53291538460027,0.09755420895460684,3.564064141999158,2.422002544216503,9.68232997820085,0.1014278481946834,0.1590412917984679,0.07743861819301862,0.2364799099914865,0.02634245516294611,0.002408745900113749,0.02875120106305986,0.003365410938456798,0.005436761579512062,0.00880217251796886,0.006730821876913597,0.3821962244701763
CHANDIGARH,55,1055450,580663,474787,805438,465346,340092,199086,106356,92730,0,0,0,404136,328159,75977,385929,18207,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,1014,168344,231204,44283,78113,8911,289456,298367,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756,602411,303748,148945,346,135055,60494,109701,14027,148411,67323,193932,209783,47345,206017,112043,110377,1178,196,164,542,7578,45,6167,36,12,1120,1372,27384,202495,204,227354,2001,5182,893,3631,7152,10783,4285,2444,6729,3382,4461,7843,7897,34145,80.14046012919714,71.63043638515798,18.31630394910645,19.53086331344371,0.0,0.0,56.51453597008936,16.00233367804931,36.56535127196931,1.725046188829409,61.70960253920129,0.2442560045478232,0.1598370363352125,0.45468757402056,37.43161684589511,80.7782462456772,4.87441375716519,13.10616324790374,0.1857027808043962,0.1099057274148467,0.02330759391728647,0.09607276517125397,56.42178927294238,77.48980282672011,14.84178880372159,26.18017408091378,2.986590340084527,97.01340965991547,7.618172343550144,11.24326116822209,10.82088208820882,11.81552892131318,9.359609645175043,16.53588516746412,1.912738642285281,69.30607797621867,17.45843005353167,86.76450802975035,57.07622341181487,28.7790042162111,14.11199014638306,0.03278222559098015,45.26472431602691,20.27503041556204,36.76713577573928,4.701257176564432,49.74109067021487,64.99780471700959,70.31038955380454,15.86804170702524,22.56382240663344,37.55207512895193,36.99370238665804,0.3948157805655451,0.06569091085810429,0.05496586418739337,0.1816554779851659,2.539825114707726,0.01508209688068721,2.066917588071067,0.01206567750454977,0.004021892501516589,0.3753766334748816,0.4598363760067299,9.177958688460855,67.86776017455013,0.06837217252578201,76.1994456491502,0.6706505746278911,1.736787245238247,0.2992958336545261,1.216957639417228,2.397047930903887,3.614005570321114,1.436150780749882,0.8191254394755453,2.255276220225427,1.133503370010759,1.495138537438792,2.628641907449551,2.646740423706375,11.44395995535699
CHHATTISGARH,7353,25545198,12832895,12712303,15379922,8807893,6572029,3274269,1641738,1632531,7822902,3873191,3949711,12180225,7133866,5046359,8241714,3938511,13364973,4004796,5091882,187631,2895916,23819789,514998,490542,70036,70467,61510,494594,23262,628600,4231941,67820,260971,5164079,1635610,6799689,3889201,4058000,3421010,1853321,1562183,1072482,151480,16007677,8967044,24974721,15230475,6505399,3786209,23115,3428564,126332,878000,86376,1528665,146190,1760851,1726254,111213,1382706,5072438,366686,194474,9101,4881,105262,4159905,593631,3690341,39502,49823,28638,131447,3065075,1068490,13484,1161217,404092,1489285,5857,11041,8485,19526,1643,749,2392,613,956,1569,1263,30603,68.63527676334918,51.69817774167277,12.79320059892955,12.84213411212744,30.18173997371599,31.06998786923188,55.5904649730244,39.69665449289558,32.26326137695234,15.41781355540873,52.31892506763893,15.67729480898915,19.93283434326874,0.7345059529387872,11.33643982716439,93.24566206141756,2.016026652054136,0.2741650309384958,0.2407888950400776,0.2758522364947025,1.936152540293483,0.09106212447443156,9.244540448835235,62.23727291056989,0.99739855749285,3.837984354872701,75.94581163932645,24.05418836067355,15.22478314711046,15.88556878674419,13.3919885843124,7.25506609892004,6.115368532277573,4.198370276871606,0.5929881616106479,62.66413358784693,35.10265999895557,97.7667935868025,59.62167527532964,25.46623048292677,14.8216075678881,0.0904866738554933,50.42236490521847,1.85790850140352,12.91235525624775,1.270293391359517,22.48139584030976,25.89605201061401,25.387249328609,1.635560096939727,2.149951269830135,74.59808823609433,5.392687812633783,2.860042569593992,0.1338443567051375,0.07178269476736363,1.548041388363497,61.17787151735911,8.730266928384518,54.27220274339017,0.5809383340914562,0.7327246878496942,0.4211663209890923,1.933132530031888,45.07669394879677,15.71380691087489,0.1983031871016454,17.07750163279526,5.942801207525815,21.90225170592361,0.08613629240984404,0.1623750733305597,0.1247851188488179,0.2871601921793776,0.02416286980183947,0.01101520966620679,0.03517807946804626,0.009015118191434931,0.01405946654324926,0.02307458473468419,0.0185743789164475,0.4500647014885534
DADRA AND NAGAR HAVELI,496,343709,193760,149949,223230,142521,80709,6186,3339,2847,178564,88844,89720,157161,119293,37868,130299,26862,186548,28164,17799,2195,109003,322857,12922,5113,217,634,1186,293,487,29101,69558,2013,6017,48221,60562,108783,24701,69140,32004,37809,22700,19655,3566,209575,91055,300630,225103,87888,30346,372,17822,4136,18647,1706,41837,3669,34467,45973,2430,39999,40607,31255,539,251,55,433,29222,4170,32907,442,188,270,929,26605,38461,29,34001,15041,7997,431,1782,1667,3449,407,564,971,729,978,1707,235,6793,73.55542939719241,53.82430026208911,1.723265895953757,1.898645539483425,45.85260115606937,59.83367678343971,61.5674029727498,25.25391966601978,37.90968522791082,7.815332155980786,54.27498261610839,8.19414097390525,5.178508563930534,0.6386216246883265,31.71374622136749,93.93324003735718,3.759575687572918,0.06313480298741087,0.3450593379864944,0.1844583644885645,0.0852465312226331,0.1416896269809635,26.75142255683333,63.94197622790325,1.850472959929401,5.531195131592252,44.32769826167691,55.67230173832309,7.186602620239796,20.11585381820086,9.311365137369112,11.0002938532305,6.6044240913098,5.718500242938067,1.037505564300033,60.97454532758816,26.49188703234422,87.46643235993238,65.49232053859515,25.5704680412791,8.828980329290184,0.1082310908355615,16.38307456128256,3.80206466083855,17.14146511863067,1.568259746467739,38.45913423972496,31.6841785940818,42.26119890056351,2.233804914370812,3.372769642315435,37.32844286331504,28.73151135747313,0.4954818308007685,0.2307345816901538,0.05055937048987433,0.3980401349475561,26.86265317191105,3.833319544414108,30.25013099473263,0.4063134864822629,0.1728211209472068,0.2482005460412013,0.8539937306380592,24.45694639787467,35.35570815292831,0.02665857716738828,31.25580283684031,13.82660893705818,7.351332469227728,0.396201612384288,1.638123603871928,1.53240855648401,3.170532160355938,0.3741393416250701,0.5184633628416204,0.8926027044666905,0.6701414743112435,0.8990375334381292,1.569179007749373,0.2160264011840085,6.244541886140298
DAMAN AND DIU,989,243247,150301,92946,188406,124643,63763,6124,3151,2973,15363,7771,7592,121271,107434,13837,116435,4836,121976,2316,772,684,117499,220150,19277,2820,172,217,287,79,245,32021,59824,1684,5598,19794,70135,89929,10829,35762,38951,36042,18537,11034,2630,153785,31376,185161,153064,66800,23027,356,18381,3561,18987,2494,45871,3652,36838,52172,3807,47233,23100,35416,594,59,29,217,6319,144,14208,12,2,304,330,13363,46134,12,45404,10910,884,1786,7262,14304,21566,8570,4888,13458,6764,8922,15686,15794,68290,82.92892262859196,68.60219912637446,2.096459770726742,3.198631463430379,5.170291614826248,8.16818367654337,71.4792316751053,14.88713876874745,47.86698294326343,1.988102628192742,50.14491442854383,0.9521186283900727,0.3173728761300242,0.2811956570892961,48.30439840984678,90.50471331609434,7.924866493728596,0.07071001903415047,0.1179870666441929,0.08920973331634101,0.03247727618429004,0.1007206666474818,35.60697883886177,66.52359083276808,1.872588375273827,6.224910762935205,22.010697327892,77.989302672108,4.451853465818695,14.70192849243773,16.0129415779023,14.81703782574914,7.620648969977019,4.536129941993118,1.08120552360358,63.22174579748157,12.89882300706689,76.12056880454845,62.92533926420469,27.46179809000728,9.466509350577807,0.1463532952102184,20.43945779448231,3.959790501395545,21.11332273237776,2.773298935827153,51.00801743597727,40.96342670328815,58.01465600640505,4.23333963460063,4.060981440914499,25.68693080096521,39.38217927476121,0.6605210777391053,0.06560731243536568,0.03224766204450177,0.2413014711605822,7.026654360662301,0.1601263218761467,15.79913042511314,0.01334386015634556,0.00222397669272426,0.3380444572940876,0.366956154299503,14.85950027243715,51.3004703710705,0.01334386015634556,50.48871887822616,12.13179285881084,0.9829976981841231,1.986011186602765,8.075259371281788,15.90588130636391,23.9811406776457,9.529740128323455,5.435399037018092,14.96513916534155,7.521489174793448,9.921160026242926,17.44264920103637,17.56274394244349,75.93768417306987
GOA,1171,1458545,739140,719405,1165487,615823,549664,25449,12627,12822,149275,72948,76327,577248,419536,157712,476053,101195,881297,31354,26760,14708,504426,963877,121564,366130,1473,1095,1109,258,3039,234803,312761,41064,100565,204479,372103,576582,70842,174560,268661,262876,152299,144241,26180,1099659,188115,1287774,695406,455405,305640,2094,79512,79373,183814,39008,173533,71765,261842,287680,75139,257338,254532,56191,14177,3818,667,10479,53003,22965,1106,3971,1075,4035,10206,49955,257344,1125,275694,855,15514,209,738,851,1589,273,325,598,315,368,683,645,3724,83.31615120274914,76.40536276506279,1.708336715642504,1.782306211383018,9.869307573666694,10.60973999346682,56.76001839976188,21.92256100527519,32.63889698295219,6.938078701719864,60.42302431532794,2.149676561230541,1.834705134226232,1.008402209050801,34.58419178016448,66.08483111594089,8.33460743412099,0.100991056155278,0.07603467839525006,0.07507481771217206,0.01768886115958027,0.2083583297052885,40.72326225931437,54.24397570510352,7.121970508964901,17.44157812765574,35.46399297931604,64.53600702068397,4.8570321793294,11.96809148843539,18.41979506974416,18.02316692320086,10.44184444086401,9.88937605627526,1.794939477355858,75.39424563520495,12.89744231408699,88.29168794929193,47.67806272689564,31.22323959836686,20.95512994113997,0.1435677335975236,13.79023278562286,13.76612519988484,31.87994075430728,6.765386363084522,30.09684658903677,45.41279471089975,49.89403068427388,13.03179773215258,12.44662511143255,44.14497851129588,9.745534893562407,2.45880030940959,0.6621781463868106,0.1156817243687802,1.817434467257042,9.19262134440548,3.982954722832138,0.19182007069246,0.6887138342854963,0.1864435587652754,0.6998137298771033,1.770086475124093,8.663988816855191,44.63268017385212,0.1951153521962184,47.81522836300821,0.148287667669126,2.690684065753007,0.03624809654134191,0.1279956710407193,0.1475939241946506,0.2755895952353698,0.047347992132949,0.05636665730112976,0.1037146494340788,0.05463229861494115,0.06382439965174078,0.1184566982666819,0.1118661352591652,0.6458751747366377
